Packages,x86_64,x86,armv7,armv7hf,Visual Studio 12,Visual Studio 14,Visual Studio 15,Visual Studio 16,apple-clang 10.0,apple-clang 7.3,apple-clang 8.0,apple-clang 8.1,apple-clang 9.0,apple-clang 9.1,clang 3.9,clang 4.0,clang 5.0,clang 6.0,clang 7.0,clang 8,gcc 4.6,gcc 4.8,gcc 4.9,gcc 5,gcc 6,gcc 6.3,gcc 7,gcc 7.1,gcc 8,gcc 9,Linux,Macos,Windows,Total
MBEDTLS,18,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,1,0,15,0,3,18
TESSERACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAML-CPP,415,9,0,0,0,0,77,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,10,10,0,72,0,249,0,345,2,77,424
TERMCAP,247,124,0,0,0,0,0,0,15,7,0,7,7,7,22,30,22,22,0,0,0,0,34,35,36,0,73,0,54,0,320,43,8,371
KHRONOS-OPENCL-HEADERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
LIBICONV,2985,1615,0,0,150,219,421,83,118,37,0,50,63,164,217,220,212,216,335,175,0,41,181,297,238,0,688,0,392,83,3295,432,873,4600
LZMA,2730,1164,0,0,70,157,504,46,56,4,0,26,26,33,133,202,137,236,129,30,0,0,149,309,308,0,594,0,699,46,2876,145,873,3894
LIBUUID,263,241,0,0,0,0,0,0,4,0,0,3,0,0,26,27,27,27,26,0,0,0,29,44,221,0,41,0,29,0,497,7,0,504
BZIP2,54822,25257,0,5,1216,2947,4389,931,2576,214,0,326,1264,1266,2050,4838,4696,5704,4876,706,0,1376,4163,6955,5486,0,15385,0,8545,175,63692,5646,10746,80084
ASIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735
LIBJPEG,5536,4484,0,0,107,945,1231,160,396,14,0,48,51,147,610,573,589,686,240,34,0,0,607,711,983,0,984,0,863,41,6483,656,2881,10020
LIBFVAD,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PROTOBUF,7854,778,0,0,1,514,1252,0,212,10,0,21,352,47,96,111,151,111,106,0,0,27,511,898,152,0,3154,0,906,0,6223,642,1767,8632
KHRONOS-OPENCL-ICD-LOADER,19,10,0,0,0,0,1,0,3,0,0,0,0,0,1,1,1,1,1,0,0,0,1,3,1,0,7,0,8,0,25,3,1,29
LIBUSB,134,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,111,0,0,0,127,0,9,136
LAPACK,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,4,0,9,0,0,0,31,0,19,50
RELAPACK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOZJPEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OPENAL,384,108,0,0,26,21,152,0,14,7,0,10,6,6,14,15,11,15,12,10,0,0,13,19,30,0,70,0,41,0,250,43,199,492
PAHO-C,1148,847,0,65,32,81,115,48,47,44,0,47,47,47,121,121,121,121,127,18,0,0,98,176,135,0,252,0,262,0,1486,232,342,2060
BOX2D,84,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,3,0,77,0,9,86
CPPNANOMSG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NANOMSG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIBFFI,2366,2248,0,0,65,98,126,48,43,14,0,30,30,30,443,403,419,419,117,19,0,0,398,434,437,0,538,0,503,0,4126,147,341,4614
CPPZMQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JSON-C,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,29,0,0,29
LIBPQ,635,385,0,0,7,26,55,0,26,5,0,11,11,11,58,58,73,95,94,0,0,0,35,60,63,0,183,0,149,0,860,64,96,1020
LIBPQXX,282,180,0,0,0,24,48,0,12,0,0,8,8,8,32,32,32,40,32,0,0,0,16,32,32,0,34,0,72,0,354,36,72,462
GMP,106,58,0,0,0,0,0,0,10,0,0,4,3,4,10,12,10,10,10,0,0,0,3,10,10,0,39,0,29,0,143,21,0,164
FFTW,59,0,0,0,0,1,7,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,32,0,5,0,39,12,8,59
CZMQ,16,6,0,0,1,1,7,0,0,1,0,1,2,0,0,1,1,0,3,0,0,0,2,0,0,0,1,0,1,0,9,4,9,22
ZMQ,903,239,0,0,18,183,135,0,19,4,0,7,8,7,19,20,19,19,16,0,0,0,8,33,147,0,305,0,175,0,761,45,336,1142
NASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NASM_INSTALLER,1649,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1346,215,315,1876
ZSTD,1107,73,0,0,16,15,139,0,30,4,0,4,6,29,8,80,13,102,14,0,0,0,24,177,29,0,268,0,222,0,921,73,186,1180
CATCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
MINGW_INSTALLER,1607,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,262,543,10,558,9,326,0,0,0,2254,2254
GLIB,649,597,0,0,38,68,68,0,17,0,0,11,11,12,100,97,97,97,48,0,0,0,101,113,88,0,105,0,175,0,1021,51,174,1246
DOCTEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266
LIBTIRPC,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,0,0,28
FLAC,344,161,0,0,0,31,121,0,12,0,0,4,4,5,25,21,21,23,33,0,0,0,27,32,20,0,61,0,65,0,328,25,152,505
CRYPTOPP,337,196,0,0,6,0,269,0,22,1,0,1,3,1,2,6,5,4,10,0,0,0,0,72,39,0,73,0,19,0,230,28,275,533
OPENSSL,30678,11240,0,64,1231,3161,5434,317,1335,151,0,185,1655,373,1238,1310,1239,1358,2104,590,0,0,2524,3935,2204,0,6658,0,4980,0,26484,3699,11799,41982
LIBCURL,4581,1298,10,0,219,214,697,0,157,28,0,55,77,56,147,147,203,154,180,0,0,0,357,893,415,0,1161,0,729,0,4320,373,1196,5889
ANDROID_NDK_INSTALLER,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,9,0,3,12
RESTINIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
PISTACHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOG4CPLUS,4,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,6
IMGUI,217,5,0,0,2,28,59,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,53,0,17,0,11,0,84,49,89,222
GLEW,529,23,0,0,2,39,145,0,70,0,0,4,3,32,1,0,0,83,0,0,0,0,0,4,16,0,29,0,124,0,257,109,186,552
LIBWEBP,2190,1334,0,0,87,186,392,65,119,14,0,39,38,42,165,162,163,165,171,20,0,0,119,278,454,0,436,0,392,17,2526,252,746,3524
JANSSON,624,432,0,0,3,3,6,0,56,0,0,1,20,21,93,86,85,85,117,122,0,0,2,2,97,0,119,0,138,0,912,98,46,1056
PCRE2,3591,3158,0,0,26,588,635,98,252,4,0,4,9,100,488,450,467,473,125,14,0,0,555,507,589,0,658,0,707,0,4581,369,1799,6749
STRAWBERRYPERL,1126,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,1189
LIBMIKMOD,168,163,0,0,0,30,42,0,11,0,0,4,4,5,26,21,21,23,33,0,0,0,27,22,20,0,19,0,23,0,235,24,72,331
ICU,769,798,0,0,0,226,228,0,21,0,0,8,8,8,32,32,32,32,32,0,0,0,16,91,244,0,258,0,299,0,1036,45,486,1567
ICU_INSTALLER,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,11
LIBSODIUM,1089,480,0,0,44,226,183,39,25,10,0,13,14,13,63,63,63,67,57,9,0,0,37,72,188,0,124,0,259,0,1002,75,492,1569
LEPTONICA,5,2,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7
OPENCV,828,523,0,0,17,91,137,0,45,7,0,23,23,24,83,84,84,93,98,0,0,0,30,101,93,0,190,0,128,0,984,122,245,1351
FREETYPE,6445,4666,0,0,197,1041,1275,169,387,50,0,85,88,217,658,635,652,655,365,84,0,0,770,706,818,0,1058,0,1168,33,6998,827,3286,11111
FMT,5878,247,0,0,0,79,784,0,216,11,0,8,11,10,32,33,57,82,0,0,0,0,25,637,166,0,2949,0,1025,0,4988,256,881,6125
MOSQUITTO,34,11,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,35,45
EMSDK_INSTALLER,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,26,32,130
LIBAIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIBUNWIND,447,337,0,0,0,0,0,0,0,0,0,0,0,0,63,65,66,64,64,0,0,0,28,69,66,0,109,0,190,0,784,0,0,784
EIGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5354
KHRONOS-OPENCL-CLHPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SQLITE3,4412,2323,0,0,9,560,1399,0,353,0,0,0,1,0,340,308,324,316,7,0,0,0,415,402,453,0,1051,0,797,0,4033,354,2348,6735
GLOG,1207,372,0,0,3,33,94,0,122,6,0,13,13,36,63,65,66,64,64,0,0,0,28,514,69,0,127,0,199,0,1259,190,130,1579
LIBELF,2436,2384,0,0,85,118,123,18,37,14,0,33,33,33,467,427,444,439,137,14,0,0,424,466,469,0,531,0,508,0,4286,150,384,4820
THEORA,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,13,0,0,13
PKG-CONFIG_INSTALLER,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,76,94
PUGIXML,206,10,0,0,2,38,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,53,0,58,0,0,0,143,0,73,220
CMAKE_INSTALLER,7003,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6839,351,1034,8224
WIRINGPI,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,2,0,0,0,103,0,0,103
LIBEVENT,954,271,0,0,40,46,88,3,15,0,0,6,12,35,12,36,36,36,36,12,0,0,98,295,99,0,211,0,109,0,980,68,177,1225
GYP_INSTALLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
IRRXML,1032,102,0,0,2,712,85,2,23,7,0,7,7,36,16,17,16,16,18,17,0,0,12,19,47,0,55,0,20,0,253,80,801,1134
LIBFDK_AAC,45,0,0,0,0,2,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,0,6,0,26,3,16,45
GLFW,776,460,0,0,72,166,266,63,76,0,0,17,17,59,26,26,26,38,36,27,0,0,28,37,39,0,77,0,114,26,500,169,567,1236
BOOST,13263,2381,0,0,473,964,1872,12,497,2,0,4,336,280,13,478,424,516,492,0,0,3,216,1679,775,0,4683,0,1925,0,11115,1119,3410,19256
TBB,861,570,0,0,12,56,102,31,27,0,0,24,24,24,96,96,97,96,96,96,0,0,60,117,116,0,129,0,132,0,1083,99,249,1431
OPUS,447,218,0,0,0,44,93,6,14,4,0,8,8,9,34,29,29,31,32,0,0,0,35,34,39,0,57,0,159,0,479,43,143,665
LCMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NINJA_INSTALLER,7046,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6348,362,1318,8028
MESON_INSTALLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4316
HTTP-PARSER,76,14,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,8,0,10,0,0,0,87,0,3,90
RAGEL_INSTALLER,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,204
VORBIS,541,163,0,0,1,33,153,0,12,0,0,4,4,5,25,21,21,30,34,0,0,0,27,33,29,0,88,0,184,0,492,25,187,704
CATCH2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1839
ZLIB,54998,24361,0,0,2467,5625,9035,1650,2277,306,0,409,2109,936,2200,3509,3443,3944,4634,1131,5,1121,3740,7146,4683,0,10673,0,7904,412,52487,6037,20835,79359
PAHO-CPP,163,86,0,8,0,8,13,0,4,0,0,4,4,4,16,16,16,16,16,0,0,0,10,18,18,0,61,0,33,0,212,16,29,257
KAINJOW-MUSTACHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
LIBJPEG-TURBO,584,110,0,0,0,1,241,0,8,0,0,0,0,0,0,0,0,4,13,0,0,0,1,290,4,0,65,0,67,0,444,8,242,694
JASPER,2450,1724,0,0,44,170,488,0,120,30,0,46,46,48,238,242,244,240,244,0,0,0,108,402,676,0,484,0,304,0,3182,290,702,4174
GLM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520
LIBPNG,9826,6784,0,1,347,1304,2129,283,588,74,0,125,335,260,893,868,887,970,607,165,0,0,1019,1301,1321,0,1556,0,1459,120,10406,1382,4823,16611
RXCPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,926
RAPIDJSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5234
IMAGEMAGICK,114,77,0,0,0,1,5,0,8,0,0,8,8,8,16,16,16,16,8,0,0,0,16,16,16,0,17,0,16,0,153,32,6,191
FROZEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONGO-C-DRIVER,78,0,0,0,0,12,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,32,0,43,21,14,78
GREATEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXPRTK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
FSWATCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SQLITE_ORM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
LIBUV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSGPACK,161,68,0,0,12,14,18,13,6,4,0,4,4,4,8,8,8,8,10,0,0,0,19,10,13,0,16,0,50,0,134,22,73,979
SNAPPY,75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,41,0,20,0,74,0,1,75
HARFBUZZ,3767,2972,0,0,0,647,748,18,284,10,0,25,29,121,469,440,456,470,119,16,0,0,508,499,576,0,687,0,617,0,4539,469,1731,6739
DOUBLE-CONVERSION,3061,2473,0,0,0,566,653,0,253,0,0,0,4,119,372,339,354,349,0,0,0,0,448,418,485,0,570,0,604,0,3518,376,1640,5534
GTEST,12647,665,0,0,8,973,2298,0,293,8,3,7,64,271,31,41,66,114,36,0,0,37,198,1475,211,0,4841,0,2337,0,9381,646,3285,13312
GETOPT,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
LIBTIFF,2923,2123,0,0,124,408,661,76,154,15,0,52,54,56,261,258,259,342,266,32,0,0,171,362,503,0,495,0,460,37,3430,331,1285,5046
ARDUINOJSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
LIBLINEAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
